symbol,time,price,signal,score,pos,stop_loss,take_profit
RUNEUSDT,2025-05-29 13:00:00,1.875,-1,-0.5113922691318639,0.5113922691318639,1.9945219563152607,1.7554780436847393
CHRUSDT,2025-05-29 13:00:00,0.0962,-1,-0.5109856657256721,0.5109856657256721,0.10227700646586038,0.0901229935341396
AVAXUSDT,2025-05-29 13:00:00,23.21,-1,-0.5041121138946397,0.5041121138946397,24.455937794110856,21.964062205889146
ARUSDT,2025-05-29 13:00:00,7.41,-1,-0.48277909219830084,0.48277909219830084,7.849151192520259,6.970848807479741
SFPUSDT,2025-05-29 13:00:00,0.5536,-1,-0.48263744853628465,0.48263744853628465,0.5709324254750495,0.5362675745249504
EGLDUSDT,2025-05-29 13:00:00,17.75,-1,-0.4747578073859108,0.4747578073859108,18.643902404980395,16.856097595019605
KNCUSDT,2025-05-29 13:00:00,0.3581,-1,-0.46216130398498645,0.46216130398498645,0.37456613506426945,0.3416338649357305
TRBUSDT,2025-05-29 13:00:00,63.34,1,0.46157937468637456,0.46157937468637456,55.60931500224936,71.07068499775065
BAKEUSDT,2025-05-29 13:00:00,0.1346,-1,-0.4485819527643964,0.4485819527643964,0.1432358471598966,0.1259641528401034
SOLUSDT,2025-05-29 14:00:00,170.82,-1,-0.6864515061268623,0.6864515061268623,177.4562578466757,164.1837421533243
AVAXUSDT,2025-05-29 14:00:00,22.97,-1,-0.6449627167609958,0.6449627167609958,24.244509222682282,21.695490777317715
RUNEUSDT,2025-05-29 14:00:00,1.856,-1,-0.6333842575226984,0.6333842575226984,1.9777420768095906,1.7342579231904096
CHRUSDT,2025-05-29 14:00:00,0.0953,-1,-0.6248731209489161,0.6248731209489161,0.10147700646586039,0.0891229935341396
DUSKUSDT,2025-05-29 14:00:00,0.0791,-1,-0.6237386745842373,0.6237386745842373,0.08410109840501104,0.07409890159498897
GRTUSDT,2025-05-29 14:00:00,0.1085,-1,-0.5660918644216573,0.5660918644216573,0.1153092506155164,0.1016907493844836
EGLDUSDT,2025-05-29 14:00:00,17.61,-1,-0.5656296546210077,0.5656296546210077,18.520038048145807,16.699961951854192
SFPUSDT,2025-05-29 14:00:00,0.5509,-1,-0.5448629753127436,0.5448629753127436,0.5687467111893353,0.5330532888106646
KNCUSDT,2025-05-29 14:00:00,0.3569,-1,-0.5096318158692549,0.5096318158692549,0.37338042077855516,0.34041957922144483
ARUSDT,2025-05-29 14:00:00,7.38,-1,-0.4995699178263161,0.4995699178263161,7.8234369068059735,6.936563093194026
SOLUSDT,2025-05-29 15:00:00,170.62,-1,-0.6604830422720056,0.6604830422720056,177.46911498953287,163.77088501046714
AVAXUSDT,2025-05-29 15:00:00,22.99,-1,-0.591014099434353,0.591014099434353,24.30250974662273,21.677490253377268
