symbol,entry_time,entry_price,exit_time,exit_price,signal,score,position_size,pnl,ret,holding_s
ENAUSDT,2025-07-09 13:00:00,0.27131858,2025-07-12 00:00:00,0.33790134,-1,-0.16035529399710202,0.0234,-0.0015580365840000005,-0.2464043508557358,212400.0
ENAUSDT,2025-07-12 00:00:00,0.33790134,2025-07-13 05:00:00,0.32740175000000005,1,0.09276550437218241,0.0003,-3.149876999999984e-06,-0.03207294573025353,104400.0
ENAUSDT,2025-07-13 05:00:00,0.32740175000000005,2025-07-20 22:00:00,0.49544859,-1,-0.3067773300116538,0.0739,-0.012418661475999997,-0.514274104368715,666000.0
ENAUSDT,2025-07-20 22:00:00,0.49544859,2025-07-24 13:00:00,0.47675693,1,0.09951995008972782,0.0014,-2.6168323999999997e-05,-0.038726739720865884,313200.0
EIGENUSDT,2025-07-09 13:00:00,1.1746475,2025-07-18 19:00:00,1.48974679,-1,-0.16331386136896195,0.0244,-0.007688422676000001,-0.269250083535699,799200.0
EIGENUSDT,2025-07-18 19:00:00,1.48974679,2025-07-19 20:00:00,1.5415374000000002,1,0.09553281681113497,0.0007,3.625342700000005e-05,0.03376470655795141,90000.0
EIGENUSDT,2025-07-19 20:00:00,1.5415374000000002,2025-07-24 13:00:00,1.30449123,-1,-0.1714151744465233,0.0272,0.006447655824000005,0.1527725714601541,406800.0
DYMUSDT,2025-07-09 14:00:00,0.23762869,2025-07-12 17:00:00,0.26818042999999997,-1,-0.16337432927299947,0.0245,-0.0007485176299999992,-0.12956923968229578,270000.0
DYMUSDT,2025-07-12 17:00:00,0.26818042999999997,2025-07-13 20:00:00,0.27781663,1,0.09232953414010092,0.0002,1.927240000000008e-06,0.03493177921297255,97200.0
DYMUSDT,2025-07-13 20:00:00,0.27781663,2025-07-18 16:00:00,0.29618882999999996,-1,-0.1772868245129239,0.0292,-0.0005364682399999985,-0.06713067043538735,417600.0
DYMUSDT,2025-07-18 16:00:00,0.29618882999999996,2025-07-21 10:00:00,0.33629908,1,0.09155026003806814,0.0001,4.011025000000002e-06,0.13442121085390027,237600.0
DYDXUSDT,2025-07-09 13:00:00,0.5478356000000001,2025-07-18 20:00:00,0.6641992,-1,-0.16976686851697517,0.0267,-0.0031069081199999976,-0.21340605758369827,802800.0
DYDXUSDT,2025-07-18 20:00:00,0.6641992,2025-07-20 08:00:00,0.6867939000000001,1,0.10551395577872759,0.0048,0.00010845456000000037,0.0330179572634235,129600.0
DYDXUSDT,2025-07-20 08:00:00,0.6867939000000001,2025-07-22 20:00:00,0.6651995,-1,-0.2686715933744925,0.0608,0.001312939520000001,0.03044232935091592,216000.0
DYDXUSDT,2025-07-22 20:00:00,0.6651995,2025-07-23 07:00:00,0.6907926999999999,1,0.10669475067257761,0.0052,0.00013308463999999931,0.03747447269578505,39600.0
THETAUSDT,2025-07-09 13:00:00,0.7167849,2025-07-18 08:00:00,0.9207761499999999,-1,-0.17151593940996493,0.0273,-0.005568961124999999,-0.2855920024263904,759600.0
THETAUSDT,2025-07-18 08:00:00,0.9207761499999999,2025-07-20 08:00:00,0.92732172,1,0.09805058268179861,0.0023,1.5054811000000256e-05,0.00610875276254724,172800.0
THETAUSDT,2025-07-20 08:00:00,0.92732172,2025-07-22 04:00:00,0.94698401,-1,-0.2363727340879468,0.0497,-0.0009772158129999985,-0.022203310109030955,158400.0
THETAUSDT,2025-07-22 04:00:00,0.94698401,2025-07-23 07:00:00,0.97720675,1,0.10071854528276404,0.0032,9.671276800000008e-05,0.03091473106288249,97200.0
APTUSDT,2025-07-09 13:00:00,4.52914085,2025-07-23 12:00:00,5.35620638,-1,-0.15363187775230647,0.0212,-0.01753378923599999,-0.18360980556610412,1206000.0
APTUSDT,2025-07-23 12:00:00,5.35620638,2025-07-24 13:00:00,4.6438064400000005,1,0.10803897559012365,0.0056,-0.003989439663999996,-0.13400457253852105,90000.0
DRIFTUSDT,2025-07-09 16:00:00,0.38668396,2025-07-22 00:00:00,0.69270775,-1,-0.20833051471041775,0.0399,-0.012210349220999998,-0.7924054412807813,1065600.0
DRIFTUSDT,2025-07-22 00:00:00,0.69270775,2025-07-22 07:00:00,0.64210731,1,0.09977567936389697,0.0014,-7.084061599999996e-05,-0.07404731324285022,25200.0
DOTUSDT,2025-07-09 13:00:00,3.5439365,2025-07-12 16:00:00,3.8251471999999995,-1,-0.15271085953231323,0.0209,-0.005877303629999988,-0.08034981340664527,270000.0
DOTUSDT,2025-07-12 16:00:00,3.8251471999999995,2025-07-13 08:00:00,3.9978003,1,0.09847027111368303,0.0012,0.00020718372000000078,0.044136328348357595,57600.0
DOTUSDT,2025-07-13 08:00:00,3.9978003,2025-07-15 03:00:00,3.8671598,-1,-0.1846274084603575,0.0319,0.004167431950000005,0.03167809550166879,154800.0
DOTUSDT,2025-07-15 03:00:00,3.8671598,2025-07-20 19:00:00,4.5256419,1,0.0916131494508889,0.0002,0.00013169642000000002,0.16927537884521868,489600.0
DOTUSDT,2025-07-20 19:00:00,4.5256419,2025-07-22 03:00:00,4.4403317,-1,-0.09770496353627275,0.0011,9.384122000000038e-05,0.017850408822668966,115200.0
DOTUSDT,2025-07-22 03:00:00,4.4403317,2025-07-24 13:00:00,3.9918021,1,0.09645953155734056,0.0018,-0.0008073532799999993,-0.10201263380841565,208800.0
ACXUSDT,2025-07-09 13:00:00,0.14195739999999998,2025-07-12 16:00:00,0.160048,-1,-0.15825474708058956,0.0227,-0.0004106566200000003,-0.1284368225960747,270000.0
ACXUSDT,2025-07-12 16:00:00,0.160048,2025-07-13 10:00:00,0.16295110000000002,1,0.10294492888889574,0.0039,1.1322090000000075e-05,0.01713893332000412,64800.0
ACXUSDT,2025-07-13 10:00:00,0.16295110000000002,2025-07-18 16:00:00,0.17875360999999998,-1,-0.3504162497565312,0.0889,-0.0014048431389999969,-0.09797700721259299,453600.0
ACXUSDT,2025-07-18 16:00:00,0.17875360999999998,2025-07-20 13:00:00,0.20513844,1,0.09862625730205521,0.0013,3.430027900000003e-05,0.14660445956867682,162000.0
DOODUSDT,2025-07-09 15:00:00,0.00256203116,2025-07-15 18:00:00,0.00435240533,-1,-0.17977368709891942,0.0301,-5.389026251699999e-05,-0.6998104586518767,529200.0
DOODUSDT,2025-07-15 18:00:00,0.00435240533,2025-07-22 07:00:00,0.00420753736,1,0.10649690879713716,0.0025,-3.621699249999988e-07,-0.03428457692151561,565200.0
DOLOUSDT,2025-07-09 17:00:00,0.0438618375,2025-07-11 15:00:00,0.0627878307,-1,-0.1471678665023162,0.019,-0.0003595938708000001,-0.43249111571078175,165600.0
DOLOUSDT,2025-07-11 15:00:00,0.0627878307,2025-07-20 07:00:00,0.058916319800000005,1,0.11744929753226653,0.0085,-3.290784265e-05,-0.06266021117209898,748800.0
DOLOUSDT,2025-07-20 07:00:00,0.058916319800000005,2025-07-23 16:00:00,0.0805931707,-1,-0.10878779092241249,0.0029,-6.286286760999997e-05,-0.3689260852270679,291600.0
DOLOUSDT,2025-07-23 16:00:00,0.0805931707,2025-07-24 09:00:00,0.0805618242,1,0.09367086986576835,0.0004,-1.253859999999496e-08,-0.0013889473478673722,61200.0
SSVUSDT,2025-07-09 13:00:00,7.717684,2025-07-17 01:00:00,10.091026399999999,-1,-0.17178258927989062,0.0273,-0.06479224751999996,-0.3085200280291339,648000.0
SSVUSDT,2025-07-17 01:00:00,10.091026399999999,2025-07-21 04:00:00,11.5995191,1,0.1034804886233215,0.0041,0.006184820070000006,0.14848852972974103,356400.0
SOPHUSDT,2025-07-09 20:00:00,0.0338878306,2025-07-11 22:00:00,0.03720415789999999,-1,-0.18185784829719337,0.0309,-0.00010247451356999973,-0.09886189441114565,180000.0
SOPHUSDT,2025-07-11 22:00:00,0.03720415789999999,2025-07-13 10:00:00,0.036096167900000004,1,0.10379711756187816,0.0042,-4.653557999999955e-06,-0.03078134871317675,129600.0
SOPHUSDT,2025-07-13 10:00:00,0.036096167900000004,2025-07-23 20:00:00,0.0422386678,-1,-0.0972942799042858,0.001,-6.142499899999994e-06,-0.1711704157908683,900000.0
SOPHUSDT,2025-07-23 20:00:00,0.0422386678,2025-07-24 13:00:00,0.0437648666,1,0.11524684098206141,0.008,1.2209590400000025e-05,0.03513273996297779,61200.0
CHESSUSDT,2025-07-12 00:00:00,0.073101924,2025-07-18 00:00:00,0.07416774300000001,1,0.3221963525892305,0.0794,8.462602860000076e-05,0.013579903533045307,518400.0
CHESSUSDT,2025-07-18 00:00:00,0.07416774300000001,2025-07-19 02:00:00,0.08383514299999999,-1,-0.14762031712643306,0.0192,-0.0001856140799999996,-0.13134507467754516,93600.0
CHESSUSDT,2025-07-19 02:00:00,0.08383514299999999,2025-07-20 05:00:00,0.08562430500000001,1,0.11590682760684201,0.0082,1.4671128400000204e-05,0.0203414319577176,97200.0
CFXUSDT,2025-07-09 13:00:00,0.07639707400000001,2025-07-12 08:00:00,0.099179745,-1,-0.19260609707560725,0.0345,-0.0007860021494999998,-0.29921392112478007,241200.0
CFXUSDT,2025-07-12 08:00:00,0.099179745,2025-07-16 11:00:00,0.102359283,1,0.09381934569547852,0.0005,1.5897689999999979e-06,0.03105834013789807,356400.0
CFXUSDT,2025-07-16 11:00:00,0.102359283,2025-07-18 00:00:00,0.102260669,-1,-0.09348814238777348,0.0004,3.944559999999875e-08,-3.6589578299440844e-05,133200.0
CFXUSDT,2025-07-18 00:00:00,0.102260669,2025-07-24 13:00:00,0.18344495,1,0.11451203972375198,0.0078,0.0006332373917999999,0.792895461411464,565200.0
