symbol,n_trades,total_ret,win_rate,avg_pnl,avg_win,avg_loss,sharpe,max_dd,avg_hold_s
AI16ZUSDT,1,0.00035680711827756895,1.0,6.0154750000000764e-05,6.0154750000000764e-05,0.0,,0.0,1296000.0
LQTYUSDT,2,-0.0012247819249342484,0.19521912350597612,-0.0012136874256175293,5.0053598000000914e-05,-0.0015202384659999994,-1.3408434528859308,0.0,221034.2629482072
OMUSDT,4,-0.03965973967345604,0.02658486707566462,-0.0057594844260118625,5.663356399999958e-06,-0.005916935941077732,-1.4057014762248161,-0.03626432521872758,409332.51533742336
AGTUSDT,1,-0.0006314363746264817,0.0,-6.287496019999999e-06,0.0,-6.287496019999999e-06,,0.0,1011600.0
LPTUSDT,1,-0.006983944752695259,0.0,-0.04290765179999998,0.0,-0.04290765179999998,,0.0,1188000.0
LEVERUSDT,1,0.0067888512450302585,1.0,1.2169150020000008e-06,1.2169150020000008e-06,0.0,,0.0,687600.0
KNCUSDT,2,-0.026348429681758767,0.0,-0.0071035382524587435,0.0,-0.0071035382524587435,-1.4584988885054924,-0.00040017474349929305,336641.5841584159
OMNIUSDT,2,-0.011564914545151073,0.29333333333333333,-0.012416995441600001,0.003233770320000002,-0.01891353972,-1.144341987322187,0.0,348816.0
KASUSDT,8,-0.0028455000917217976,0.07248018120045302,-7.523599260883347e-05,2.1750457742187497e-05,-8.281490936398041e-05,-1.671634398621441,-0.002131869533645081,158803.62400906006
JUPUSDT,2,-0.01132199897926256,0.0,-0.0035153986141515142,0.0,-0.0035153986141515142,-1.8196337962542062,-0.001262705609277659,873600.0
NEIROUSDT,1,-0.0014858675654944031,0.0,-6.254755649999992e-07,0.0,-6.254755649999992e-07,,0.0,1296000.0
ZKJUSDT,3,-0.007260694979351001,0.0,-0.0008621847720713023,0.0,-0.0008621847720713023,-1.636114548960948,-0.007005888784106462,495991.4438502674
PHBUSDT,4,-0.005586568909531242,0.07749077490774907,-0.0022492225878708474,0.0001362677422380952,-0.0024496037755999986,-1.0825683322663289,-2.6672166342334158e-05,266785.2398523985
PORTALUSDT,1,0.03937743185594389,1.0,0.0015966492747000007,0.0015966492747000007,0.0,,0.0,378000.0
RPLUSDT,4,-0.012843887599011339,0.10267857142857141,-0.043587878108444916,0.008810140493115943,-0.049583671281757856,-1.3242186687512827,-0.010772195022160536,324567.85714285716
FUNUSDT,3,-0.01471258890068139,0.043263288009888747,-0.00018987408442547584,1.0771281328857153e-05,-0.00019894719527999995,-1.103087927638367,0.0,222025.21631644006
RUNEUSDT,1,-0.004340335083651503,0.0,-0.005908658599999999,0.0,-0.005908658599999999,,0.0,1184400.0
FISUSDT,1,1.4688362929282661e-05,1.0,1.812623999999996e-06,1.812623999999996e-06,0.0,,0.0,583200.0
FILUSDT,4,-0.00523807127088971,0.024922118380062308,-0.010755023581838,4.664976000000003e-05,-0.011031104689616605,-1.2023083931177894,-0.00017270691498350033,724799.9999999999
SAFEUSDT,2,-0.005317830140072699,0.0,-0.0022325406452081945,0.0,-0.0022325406452081945,-1.4174468422461481,-6.065178888681189e-06,427908.5324232081
ANIMEUSDT,1,-0.006907308579271021,0.0,-0.00011248381499999997,0.0,-0.00011248381499999997,,0.0,1224000.0
FIDAUSDT,2,-0.015178127156897037,0.03571428571428571,-0.0011356002553928569,1.9366530000000104e-06,-0.0011777312519999999,-1.4114295698075496,0.0,1007871.4285714285
APEUSDT,2,-0.0030798003461848245,0.0,-0.001774428503670067,0.0,-0.001774428503670067,-1.4657893755154117,-5.418638788989849e-05,1194220.4081632653
SAGAUSDT,7,-0.010010948921864937,0.1527196652719665,-0.0014037467086234314,0.00011848484000000034,-0.0016781242470172845,-1.1393629547584998,-0.0008354405622099659,218523.01255230128
FARTCOINUSDT,1,-0.02229432956624422,0.0,-0.023525542684000006,0.0,-0.023525542684000006,,0.0,1296000.0
SEIUSDT,3,0.0008984835396295132,0.7699029126213592,0.0016280684030873813,0.0026365281826141265,-0.0017462295089999986,0.09452151731982708,0.0,327002.33009708737
ETHUSDT,4,-0.01070144061271261,0.034990791896869246,-17.754002406652837,0.2592026341000008,-18.407152971107617,-1.192403533415785,-0.00033051790881177823,520620.99447513814
ETHFIUSDT,8,-0.003615888553783697,0.7670299727520437,0.00012003691054564146,0.001272936504002666,-0.003675767014111112,-0.7376227922493055,-0.000814913917738691,153544.4141689373
FETUSDT,2,-0.0020832525107603583,0.0,-0.0011616039804098947,0.0,-0.0011616039804098947,-1.470772077861234,-4.005729384548573e-05,1048185.1590106008
HFTUSDT,1,-0.009025852685216162,0.0,-0.0008140043099999994,0.0,-0.0008140043099999994,,0.0,619200.0
FXSUSDT,2,-0.004059682689494082,0.022304832713754646,-0.008512081940620801,0.0006635136240000001,-0.008721411116999983,-1.2420236503574429,0.0,444017.8438661711
RDNTUSDT,2,-0.00879562214327656,0.0,-0.00016978896097926408,0.0,-0.00016978896097926408,-1.4160873838384407,-5.819387140282295e-06,356062.87625418056
HEIUSDT,4,-0.007592757156991481,0.03571428571428572,-0.0019680996542806133,7.935613000000001e-05,-0.00204393134999471,-1.117178994402193,-4.8331357883735215e-05,299176.53061224497
HBARUSDT,4,-0.005229610035068721,0.0028328611898017,-0.0006074967215759202,7.8688733e-06,-0.0006092449192886359,-1.4653154833263575,-0.0009445095821210003,256262.8895184136
PROMPTUSDT,2,-0.01227743965034156,0.0,-0.001461527970692833,0.0,-0.001461527970692833,-1.418199985010378,-1.7255643505520446e-05,453956.313993174
HAEDALUSDT,2,-0.01913544095189801,0.0,-0.0021945583649399993,0.0,-0.0021945583649399993,-1.4459934324018549,-0.00021032196099823874,521126.21359223296
GRTUSDT,4,-0.0073672512352187525,0.026195899772209565,-0.00023212195318302926,9.186710600000014e-06,-0.0002386132973549704,-1.3381090310205404,-0.0008728681258621807,381624.6013667426
PUNDIXUSDT,2,-0.016019124485077252,0.004405286343612335,-0.004670382074273132,1.876323999999996e-06,-0.004691055784000004,-1.4133280809352586,0.0,519859.0308370044
GALAUSDT,4,-0.010694567297096502,0.6156351791530944,-4.694187436710095e-05,1.0675249200000062e-05,-0.00013922692821610172,-1.141205127033069,-0.00038516127235899145,376045.6026058631
GRIFFAINUSDT,1,-0.009084199326770181,0.0,-0.0003831466729999997,0.0,-0.0003831466729999997,,0.0,1188000.0
ALTUSDT,5,-0.010371813696575027,0.004721435316336167,-6.209097028725185e-05,6.442735000000006e-07,-6.238857580806423e-05,-1.1786425287345044,-0.000432680963541654,177008.4985835694
PYTHUSDT,6,-0.009202097272327237,0.004262574595055414,-0.0003134392291917306,6.0387015e-06,-0.0003148068573196918,-2.5121113903343355,-0.00573854254994377,232732.48081841436
GRASSUSDT,1,-6.809494501602842e-07,0.0,3.774108000000078e-05,0.0,3.774108000000078e-05,,0.0,1087200.0
AERGOUSDT,2,-0.008514393437775936,0.0,-0.0009285573860354635,0.0,-0.0009285573860354635,-1.4188658730119132,-1.3959090838011612e-05,1182433.2268370606
GOATUSDT,2,-0.008149871350695448,0.0,-0.0007801138061926266,0.0,-0.0007801138061926266,-1.438167931784443,-6.787738989522119e-05,1188746.543778802
GASUSDT,2,-0.00760747748318813,0.0,-0.02213972773850992,0.0,-0.02213972773850992,-1.4157635582742563,-4.164398753725429e-06,1205713.9072847683
ALPHAUSDT,1,0.00913094207916898,1.0,0.00011503318769999995,0.00011503318769999995,0.0,,0.0,194400.0
BANANAS31USDT,1,-0.00040010907360721326,0.0,-1.4086848149999999e-05,0.0,-1.4086848149999999e-05,,0.0,1040400.0000000001
SKLUSDT,4,-0.017326641739434545,0.005723630417007359,-0.00020190812043990186,2.3428331428571515e-07,-0.00020307176914572368,-1.7209087391531463,-0.012321098553632615,214018.96974652493
AVAXUSDT,4,-0.007122079868693509,0.029745042492917848,-0.04679284019304525,0.0022938822900000024,-0.04829768861953277,-1.2014774409003128,-0.000305701386229873,375929.7450424929
AUSDT,2,-0.0035047845488052065,0.07165109034267912,-0.001722966698505294,9.131622380000008e-05,-0.0018629952461999982,-1.2983636454952439,0.0,736059.813084112
ZROUSDT,1,-0.006233444056591431,0.0,-0.011414653840000004,0.0,-0.011414653840000004,,0.0,1188000.0
BABYUSDT,5,-0.013858667428958915,0.43892694063926935,-0.00030990472342631224,0.0003349218881002606,-0.0008143519912431329,-0.7010789211723225,-0.00044013486493665877,316136.3013698629
AUCTIONUSDT,2,-0.008964192370045754,0.0,-0.08157839112161845,0.0,-0.08157839112161845,-1.4172073081472711,-9.468186728756045e-06,373026.58959537576
AXSUSDT,4,-0.002470125890435937,0.2695652173913044,-0.004860477405413042,0.0014581415112903235,-0.007192348672291665,-0.724811599335567,-1.9458970461960767e-05,408897.3913043478
BAKEUSDT,3,-0.0004564714485496557,0.16049382716049385,-3.779507602469132e-05,9.86557984615385e-06,-4.690667199999996e-05,-0.8206075943026869,-0.0006001093528058554,93244.44444444445
SOLUSDT,2,-0.00673529351990676,0.0,-1.0071964219159741,0.0,-1.0071964219159741,-1.4344808063268528,-4.758247233815904e-05,1107293.2907348243
